Index,Abbreviated Journal Title,ISSN,2014 Total Cites,Impact Factor,5-Year Impact,Immediacy Index,2014 Articles,Cited Half-life,Eigenfactor Score,ArticleÿInfluence Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ULTRASCHALL MED,0172-4614,1476,"4,924","3,468",0.621,58,3.5,0.00380,0.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ULTRASON SONOCHEM,1350-4177,7550,"4,321","4,391","1,438",281,5.0,0.01119,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ULTRASOUND OBST GYN,0960-7692,9248,"3,853","3,584",0.887,186,7.1,0.01836,"1,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IEEE T AUDIO SPEECH,1558-7916,3844,"2,475","2,604",,0,4.4,0.01070,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ULTRASOUND MED BIOL,0301-5629,8289,"2,214","2,643",0.331,293,7.8,0.01384,0.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ULTRASONICS,0041-624X,4418,"1,942","2,067",0.585,258,8.9,0.00649,0.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,J SOUND VIB,0022-460X,22682,"1,813","2,223",0.277,491,>10.0,0.02669,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,J ULTRAS MED,0278-4297,4526,"1,535","1,547",0.170,247,7.8,0.00857,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WAVE MOTION,0165-2125,1596,"1,513","1,563",0.510,102,>10.0,0.00394,0.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,IEEE T ULTRASON FERR,0885-3010,7590,"1,512","1,705",0.412,204,8.6,0.01238,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,J ACOUST SOC AM,0001-4966,37633,"1,503","1,736",0.271,709,>10.0,0.03389,0.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SPEECH COMMUN,0167-6393,2605,"1,256","1,786",0.500,80,>10.0,0.00335,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,J VIB ACOUST,1048-9002,2211,"1,128","1,315",0.266,124,9.9,0.00408,0.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,J AUDIO ENG SOC,1549-4950,938,"1,123",0.971,0.111,54,>10.0,0.00082,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,APPL ACOUST,0003-682X,2539,"1,024","1,269",0.586,174,7.5,0.00508,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ULTRASONIC IMAGING,0161-7346,861,0.912,"1,291",0.412,17,>10.0,0.00060,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ACOUST PHYS+,1063-7710,680,0.880,0.684,0.176,91,5.4,0.00139,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,J COMPUT ACOUST,0218-396X,333,0.852,0.664,0.273,22,>10.0,0.00066,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ACTA ACUST UNITED AC,1610-1928,2007,0.783,0.821,0.357,115,>10.0,0.00275,0.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SHOCK VIB,1070-9622,624,0.722,0.816,0.085,211,6.4,0.00133,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,J CLIN ULTRASOUND,0091-2751,1813,0.691,0.796,0.100,120,>10.0,0.00221,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ACOUST AUST,0814-6039,93,0.565,0.505,0.167,24,,0.00028,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ARCH ACOUST,0137-5075,229,0.565,0.482,0.175,40,4.5,0.00051,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PHONETICA,0031-8388,600,0.520,"1,574",0.333,6,>10.0,0.00076,0.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,J LOW FREQ NOISE V A,0263-0923,128,0.409,0.387,0.107,28,9.2,0.00016,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,INT J AEROACOUST,1475-472X,209,0.403,0.741,0.037,27,5.9,0.00102,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,INT J ACOUST VIB,1027-5851,91,0.389,0.420,0.000,25,,0.00024,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EURASIP J AUDIO SPEE,1687-4722,95,0.386,0.624,0.049,41,,0.00034,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,NOISE CONTROL ENG J,0736-2501,301,0.227,0.380,0.064,47,8.2,0.00071,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SOUND VIB,1541-0161,242,0.106,0.416,0.048,21,>10.0,0.00033,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,IEEE-ACM T AUDIO SPE,2329-9290,33,,,0.175,177,,0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGRICULTURAL ECONOMICS & POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbreviated Journal Title,ISSN,2014,Impact,5-Year,Immediacy,2014,Cited,Eigenfactor©,ArticleÿInfluence©,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Cites,Factor,Impact,Index,Articles,Half-life,Score,Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOD POLICY,0306-9192,2551,"1,799","2,815",0.794,136,6.0,0.00619,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AM J AGR ECON,0002-9092,4965,"1,327","1,701",0.265,83,>10.0,0.00741,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,J AGR ECON,0021-857X,971,"1,278","1,898",0.250,36,8.1,0.00204,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EUR REV AGRIC ECON,0165-1587,873,"1,271","1,887",0.273,33,9.2,0.00169,0.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,APPL ECON PERSPECT P,2040-5790,253,"1,203","1,910",0.207,29,3.5,0.00190,0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AGR ECON-BLACKWELL,0169-5150,1724,"1,193","1,485",0.956,68,8.0,0.00290,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AUST J AGR RESOUR EC,1364-985X,595,"1,067","1,573",0.294,34,6.8,0.00144,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ANNU REV RESOUR ECON,1941-1340,197,"1,000","1,824",0.000,25,4.7,0.00201,"1,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CHINA AGR ECON REV,1756-137X,106,0.898,0.691,0.026,39,3.0,0.00061,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CAN J AGR ECON,0008-3976,453,0.855,"1,111",0.071,28,8.2,0.00098,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AGRIBUSINESS,0742-4477,428,0.672,0.805,0.091,33,8.7,0.00062,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,J AGR RESOUR ECON,1068-5502,640,0.526,0.808,0.176,17,>10.0,0.00093,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AGR ECON-CZECH,0139-570X,194,0.442,0.398,0.073,55,4.7,0.00039,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,INT FOOD AGRIBUS MAN,1559-2448,300,0.349,0.526,0.081,74,7.8,0.00044,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GER J AGR ECON,0002-1121,77,0.245,,0.083,24,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AGREKON,0303-1853,127,0.183,0.376,0.000,19,7.1,0.00024,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CUST AGRONEGOCIO,1808-2882,14,0.060,0.066,0.000,47,,0.00002,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ÿAGRICULTURAL ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbreviated Journal Title,ISSN,2014,Impact,5-Year,Immediacy,2014,Cited,Eigenfactor©,ArticleÿInfluence©,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Cites,Factor,Impact,Index,Articles,Half-life,Score,Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BIORESOURCE TECHNOL,0960-8524,65083,"4,494","5,330",0.822,1491,4.6,0.12645,"1,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BIOMASS BIOENERG,0961-9534,15391,"3,394","4,273",0.414,415,5.8,0.03023,"1,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IND CROP PROD,0926-6690,8308,"2,837","3,019",0.462,572,3.6,0.01752,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FOOD POLICY,0306-9192,2551,"1,799","2,815",0.794,136,6.0,0.00619,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BIOSYST ENG,1537-5110,3355,"1,619","1,960",0.378,156,6.7,0.00580,0.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AM J AGR ECON,0002-9092,4965,"1,327","1,701",0.265,83,>10.0,0.00741,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
